"#Req. Aircraft","Airline","Livery","Ac.Type","Flighttype","Performance class","Registration","Heavy","Ac.Number","Model","Offset","Radius","Home port"
"321-RJA","RJA","RJA","321","gate","jet_transport","L-GAV","false","","","","",""
"E95-RJA","RJA","RJA","E95","gate","jet_transport","L-GAV","false","","","","",""
"310-RJA","RJA","RJA","310","gate","jet_transport","L-GAV","false","","","","",""
"343-CPA","CPA","CPA","343","gate","jet_transport","L-GAV","false","","","","",""
"777-BAW","BAW","BAW","777","gate","jet_transport","L-GAV","false","","","","",""
"73H-QFA","QFA","QFA","73H","gate","jet_transport","L-GAV","false","","","","",""
"734-QFA","QFA","QFA","734","gate","jet_transport","L-GAV","false","","","","",""
"763-QFA","QFA","QFA","763","gate","jet_transport","L-GAV","false","","","","",""
"717-QFA","QFA","QFA","717","gate","jet_transport","L-GAV","false","","","","",""
"DH4-QFA","QFA","QFA","DH4","gate","jet_transport","L-GAV","false","","","","",""
"330-CPA","CPA","CPA","330","gate","jet_transport","L-GAV","false","","","","",""
"F50-QFA","QFA","QFA","F50","gate","jet_transport","L-GAV","false","","","","",""
"333-QFA","QFA","QFA","333","gate","jet_transport","L-GAV","false","","","","",""
"CRJ-JAL","JAL","JAL","CRJ","gate","jet_transport","L-GAV","false","","","","",""
"73H-JAL","JAL","JAL","73H","gate","jet_transport","L-GAV","false","","","","",""
"M90-JAL","JAL","JAL","M90","gate","jet_transport","L-GAV","false","","","","",""
"E75-RJA","RJA","RJA","E75","gate","jet_transport","L-GAV","false","","","","",""
"CR2-IBE","IBE","IBE","CR2","gate","jet_transport","L-GAV","false","","","","",""
"DH3-QFA","QFA","QFA","DH3","gate","jet_transport","L-GAV","false","","","","",""
"319-IBE","IBE","IBE","319","gate","jet_transport","L-GAV","false","","","","",""
"CR9-IBE","IBE","IBE","CR9","gate","jet_transport","L-GAV","false","","","","",""
"320-IBE","IBE","IBE","320","gate","jet_transport","L-GAV","false","","","","",""
"320-SBI","SBI","SBI","320","gate","jet_transport","L-GAV","false","","","","",""
"310-SBI","SBI","SBI","310","gate","jet_transport","L-GAV","false","","","","",""
"AT7-IBE","IBE","IBE","AT7","gate","jet_transport","L-GAV","false","","","","",""
"330-RJA","RJA","RJA","330","gate","jet_transport","L-GAV","false","","","","",""
"73G-MAH","MAH","MAH","73G","gate","jet_transport","L-GAV","false","","","","",""
"340-RJA","RJA","RJA","340","gate","jet_transport","L-GAV","false","","","","",""
"319-FIN","FIN","FIN","319","gate","jet_transport","L-GAV","false","","","","",""
"320-FIN","FIN","FIN","320","gate","jet_transport","L-GAV","false","","","","",""
"744-CPA","CPA","CPA","744","gate","jet_transport","L-GAV","false","","","","",""
"E70-BAW","BAW","BAW","E70","gate","jet_transport","L-GAV","false","","","","",""
